enterprise_id,proprietor_name,business_name,age,sub_type_id,sub_type,sector,district_id,district,state,agro_zone,block,lat,lon,preferred_lang,preferred_channel,literacy,shared_device,officer_id,shg_id,onboarded_on,baseline_turnover,sim_health_latent,digital_share_start,digital_share_slope,sim_stress_script,is_named_persona
ENT0011,Sarita Sharma,Sri Terracotta Unit,56,ST04,Pottery / Terracotta Unit,HANDICRAFT,2,Bhilwara,Rajasthan,Semi-Arid Eastern Rajasthan,Bhilwara East,-0.09644,0.20664,hi,app,medium,False,FO2,SHG02011,2023-08-08,450.0,marginal,0.644,0.0522,,False
ENT0012,Manisha More,Maa Annapurna Unit,49,ST07,SHG Food Processing Unit,FOODPROC,4,Kolhapur,Maharashtra,Western Maharashtra Ghat Zone,Kolhapur West,0.25616,0.19248,mr,app,medium,True,FO4,SHG04031,2023-08-17,2647.0,marginal,0.624,0.0745,,False
ENT0013,Dipali Das,Shree Weavers Unit,42,ST03,Handloom Weaver,HANDICRAFT,5,Nagaon,Assam,Central Brahmaputra Valley,Nagaon North,-0.14374,-0.2179,as,app,numerate,True,FO5,SHG05003,2023-08-17,1086.0,robust,0.309,0.1048,,False
ENT0014,Dakshaben Patel,Shree Tailors,32,ST05,Tailoring Unit,HANDICRAFT,1,Anand,Gujarat,Middle Gujarat Alluvial Plain,Anand Rural,0.04613,0.13127,gu,app,medium,False,FO1,,2023-08-15,731.0,marginal,0.55,0.0635,,False
ENT0015,Purabi Saikia,Nav Mahila SHG Foods,47,ST07,SHG Food Processing Unit,FOODPROC,5,Nagaon,Assam,Central Brahmaputra Valley,Nagaon West,0.31998,0.05773,as,app,medium,False,FO5,,2023-08-11,2188.0,marginal,0.639,0.0534,,False
ENT0016,Kuni Nayak,Nav Weavers Unit,42,ST03,Handloom Weaver,HANDICRAFT,6,Ganjam,Odisha,East Coastal Odisha,Ganjam North,0.07929,-0.27493,or,app,medium,False,FO6,,2023-08-13,830.0,marginal,0.586,0.0903,,False
ENT0017,Dhruba Kalita,Shree Murgi Palan,25,ST02,Poultry Unit (broiler),POULTRY,5,Nagaon,Assam,Central Brahmaputra Valley,Nagaon Rural,0.18704,-0.01122,as,app,numerate,False,FO5,,2023-08-07,3248.0,robust,0.442,0.0761,,False
ENT0018,Anjali Hazarika,Maa General Stores,58,ST08,Kirana Store,RETAIL,5,Nagaon,Assam,Central Brahmaputra Valley,Nagaon North,0.23434,0.04086,as,ivr,medium,True,FO5,SHG05038,2023-08-11,2529.0,fragile,0.045,0.0248,,False
ENT0019,Suresh Naidu,Jai Poultry Farm,44,ST02,Poultry Unit (broiler),POULTRY,3,Nizamabad,Telangana,Northern Telangana Zone,Nizamabad East,-0.2439,-0.29825,te,app,medium,False,FO3,,2023-08-07,2544.0,robust,0.602,0.1242,,False
ENT0020,Purabi Das,Maa Farmer Producer Co,43,ST06,FPO / Agri Aggregator,FOODPROC,5,Nagaon,Assam,Central Brahmaputra Valley,Nagaon East,-0.16226,0.25112,as,app,medium,True,FO5,SHG05034,2023-08-02,6316.0,robust,0.583,0.139,,False
ENT0021,Savitri Jat,Maa Taant Ghar,45,ST03,Handloom Weaver,HANDICRAFT,2,Bhilwara,Rajasthan,Semi-Arid Eastern Rajasthan,Bhilwara North,0.17837,-0.05255,hi,app,numerate,True,FO2,,2023-08-13,880.0,robust,0.442,0.0911,,False
ENT0022,Dakshaben Vaghela,Shree Dairy,48,ST01,Dairy Producer,DAIRY,1,Anand,Gujarat,Middle Gujarat Alluvial Plain,Anand Rural,-0.29797,-0.13694,gu,app,low,True,FO1,,2023-08-08,1221.0,robust,0.404,0.0772,,False
ENT0023,Archana Kulkarni,Sri Sabzi Stall,26,ST09,Vegetable Vendor,RETAIL,4,Kolhapur,Maharashtra,Western Maharashtra Ghat Zone,Kolhapur West,0.2559,0.00869,mr,app,numerate,True,FO4,,2023-08-14,1824.0,robust,0.592,0.0616,,False
ENT0024,Venkatesh Reddy,Jai Murgi Palan,47,ST02,Poultry Unit (broiler),POULTRY,3,Nizamabad,Telangana,Northern Telangana Zone,Nizamabad South,0.08229,-0.30518,te,app,medium,True,FO3,,2023-08-05,2295.0,robust,0.299,0.0803,,False
ENT0025,Anjaneyulu Rao,Sri Provision Store,55,ST08,Kirana Store,RETAIL,3,Nizamabad,Telangana,Northern Telangana Zone,Nizamabad North,-0.19682,-0.08787,te,assisted,low,True,FO3,SHG03008,2023-08-18,3275.0,robust,0.088,0.0155,,False
ENT0026,Anjali Sahu,Shree Swasahayata Foods,57,ST07,SHG Food Processing Unit,FOODPROC,6,Ganjam,Odisha,East Coastal Odisha,Ganjam North,0.32846,-0.09865,or,app,medium,False,FO6,SHG06009,2023-08-15,2100.0,marginal,0.293,0.0613,,False
ENT0027,Pramila Pradhan,Maa General Stores,24,ST08,Kirana Store,RETAIL,6,Ganjam,Odisha,East Coastal Odisha,Ganjam North,0.12429,-0.10418,or,assisted,medium,True,FO6,SHG06033,2023-08-15,4456.0,robust,0.085,0.0187,,False
ENT0028,Sarita Regar,Shree Dairy,32,ST01,Dairy Producer,DAIRY,2,Bhilwara,Rajasthan,Semi-Arid Eastern Rajasthan,Bhilwara East,0.08709,-0.20254,hi,app,medium,False,FO2,SHG02021,2023-08-05,691.0,marginal,0.717,0.1071,,False
ENT0029,Kalpana Patil,Nav Vegetable Cart,34,ST09,Vegetable Vendor,RETAIL,4,Kolhapur,Maharashtra,Western Maharashtra Ghat Zone,Kolhapur East,0.27726,-0.28644,mr,app,low,True,FO4,SHG04019,2023-08-03,1573.0,robust,0.648,0.0689,,False
ENT0030,Lakshmiben Rathod,Jai Gopal Dairy,60,ST01,Dairy Producer,DAIRY,1,Anand,Gujarat,Middle Gujarat Alluvial Plain,Anand East,0.16402,0.032,gu,app,numerate,False,FO1,SHG01029,2023-08-15,1385.0,robust,0.676,0.0422,,False
ENT0031,Lakshmiben Patel,Lakshmiben Gopal Dairy,38,ST01,Dairy Producer,DAIRY,1,Anand,Gujarat,Middle Gujarat Alluvial Plain,Anand Rural,-0.33593,0.10222,gu,app,low,True,FO1,SHG01028,2023-08-11,1180.0,marginal,0.34,0.1,dairy_margin_squeeze,True
ENT0032,Sabita Mohanty,Maa General Stores,48,ST08,Kirana Store,RETAIL,6,Ganjam,Odisha,East Coastal Odisha,Ganjam South,-0.24686,-0.09917,or,app,low,False,FO6,SHG06003,2023-08-13,2124.0,robust,0.295,0.0864,,False
ENT0033,Jagabandhu Behera,Shree Poultry Farm,25,ST02,Poultry Unit (broiler),POULTRY,6,Ganjam,Odisha,East Coastal Odisha,Ganjam East,-0.12021,-0.14549,or,app,medium,False,FO6,SHG06015,2023-08-06,4762.0,marginal,0.327,0.0836,,False
ENT0034,Kuni Nayak,Shree Swasahayata Foods,36,ST07,SHG Food Processing Unit,FOODPROC,6,Ganjam,Odisha,East Coastal Odisha,Ganjam East,0.21946,-0.02853,or,assisted,numerate,False,FO6,SHG06017,2023-08-10,3095.0,marginal,0.022,0.0262,,False
ENT0035,Rohini Kadam,Maa Handloom,48,ST03,Handloom Weaver,HANDICRAFT,4,Kolhapur,Maharashtra,Western Maharashtra Ghat Zone,Kolhapur North,0.07327,0.12957,mr,app,medium,True,FO4,,2023-08-16,1054.0,fragile,0.442,0.0771,,False
ENT0036,Rupali Hazarika,Sri Boutique,39,ST05,Tailoring Unit,HANDICRAFT,5,Nagaon,Assam,Central Brahmaputra Valley,Nagaon South,-0.15615,-0.13339,as,app,medium,False,FO5,SHG05011,2023-08-09,1138.0,fragile,0.515,0.0612,,False
ENT0037,Banwari Meena,Jai Tailors,31,ST05,Tailoring Unit,HANDICRAFT,2,Bhilwara,Rajasthan,Semi-Arid Eastern Rajasthan,Bhilwara East,-0.32127,0.22835,hi,app,medium,False,FO2,SHG02020,2023-08-18,638.0,robust,0.359,0.0411,,False
ENT0038,Archana More,Maa Gopal Dairy,26,ST01,Dairy Producer,DAIRY,4,Kolhapur,Maharashtra,Western Maharashtra Ghat Zone,Kolhapur Rural,-0.03609,0.27903,mr,app,low,False,FO4,,2023-08-11,1490.0,fragile,0.386,0.1087,,False
ENT0039,Kalpana Kadam,Jai Handloom,58,ST03,Handloom Weaver,HANDICRAFT,4,Kolhapur,Maharashtra,Western Maharashtra Ghat Zone,Kolhapur West,0.08036,-0.17314,mr,app,medium,False,FO4,,2023-08-05,904.0,marginal,0.34,0.1228,,False
ENT0040,Mridula Saikia,Jai Mahila SHG Foods,54,ST07,SHG Food Processing Unit,FOODPROC,5,Nagaon,Assam,Central Brahmaputra Valley,Nagaon West,0.15254,-0.29577,as,app,low,False,FO5,SHG05028,2023-08-06,1881.0,robust,0.315,0.1351,,False
ENT0041,Pushpa Kumhar,Shree Broiler Unit,56,ST02,Poultry Unit (broiler),POULTRY,2,Bhilwara,Rajasthan,Semi-Arid Eastern Rajasthan,Bhilwara South,0.17879,-0.33004,hi,app,low,False,FO2,SHG02032,2023-08-07,2071.0,robust,0.297,0.0425,,False
ENT0042,Shubhangi Kulkarni,Sri Dudh Utpadak,35,ST01,Dairy Producer,DAIRY,4,Kolhapur,Maharashtra,Western Maharashtra Ghat Zone,Kolhapur West,-0.08829,0.19997,mr,app,medium,False,FO4,SHG04030,2023-08-16,879.0,robust,0.687,0.0855,,False
ENT0043,Niranjan Behera,Shree Annapurna Unit,47,ST07,SHG Food Processing Unit,FOODPROC,6,Ganjam,Odisha,East Coastal Odisha,Ganjam Rural,-0.11954,-0.22367,or,app,medium,False,FO6,SHG06002,2023-08-05,2291.0,robust,0.459,0.1179,,False
ENT0044,Radha Jat,Maa Dairy,54,ST01,Dairy Producer,DAIRY,2,Bhilwara,Rajasthan,Semi-Arid Eastern Rajasthan,Bhilwara North,-0.06072,0.24213,hi,app,low,False,FO2,SHG02009,2023-08-05,1493.0,robust,0.632,0.0655,,False
ENT0045,Srinivas Yadav,Nav Poultry Farm,57,ST02,Poultry Unit (broiler),POULTRY,3,Nizamabad,Telangana,Northern Telangana Zone,Nizamabad West,0.20323,0.23479,te,app,numerate,True,FO3,SHG03027,2023-08-09,2755.0,robust,0.341,0.0887,,False
ENT0046,Lakshmi Naidu,Nav Kirana Store,37,ST08,Kirana Store,RETAIL,3,Nizamabad,Telangana,Northern Telangana Zone,Nizamabad South,-0.23854,-0.2577,te,app,medium,False,FO3,SHG03025,2023-08-14,4164.0,robust,0.33,0.0501,,False
ENT0047,Ram Lal Kumhar,Shree General Stores,48,ST08,Kirana Store,RETAIL,2,Bhilwara,Rajasthan,Semi-Arid Eastern Rajasthan,Bhilwara North,-0.08531,0.16946,hi,app,low,False,FO2,SHG02016,2023-08-20,3405.0,marginal,0.662,0.1375,,False
ENT0048,Anita More,Maa Silai Kendra,37,ST05,Tailoring Unit,HANDICRAFT,4,Kolhapur,Maharashtra,Western Maharashtra Ghat Zone,Kolhapur North,0.32332,0.14267,mr,app,low,False,FO4,,2023-08-14,579.0,marginal,0.453,0.089,,False
ENT0049,Dipali Bora,Nav Handloom,44,ST03,Handloom Weaver,HANDICRAFT,5,Nagaon,Assam,Central Brahmaputra Valley,Nagaon East,-0.30995,-0.1024,as,app,low,True,FO5,,2023-08-07,1136.0,fragile,0.567,0.0705,,False
ENT0050,Trilochan Nayak,Nav Agri Producer Co,26,ST06,FPO / Agri Aggregator,FOODPROC,6,Ganjam,Odisha,East Coastal Odisha,Ganjam Rural,0.30875,0.22594,or,app,numerate,False,FO6,SHG06020,2023-08-20,4934.0,fragile,0.501,0.0855,,False
ENT0051,Rekha Meena,Sri Kumhar Kala,25,ST04,Pottery / Terracotta Unit,HANDICRAFT,2,Bhilwara,Rajasthan,Semi-Arid Eastern Rajasthan,Bhilwara East,0.24874,0.06377,hi,app,medium,True,FO2,SHG02013,2023-08-17,404.0,robust,0.372,0.1056,,False
ENT0052,Dipali Saikia,Shree Dudh Utpadak,40,ST01,Dairy Producer,DAIRY,5,Nagaon,Assam,Central Brahmaputra Valley,Nagaon Rural,-0.32125,-0.33646,as,app,low,True,FO5,SHG05009,2023-08-14,1966.0,robust,0.414,0.0702,,False
ENT0053,Rupali Hazarika,Maa Tailors,24,ST05,Tailoring Unit,HANDICRAFT,5,Nagaon,Assam,Central Brahmaputra Valley,Nagaon West,0.25693,0.05554,as,app,low,False,FO5,,2023-08-11,666.0,robust,0.454,0.0976,,False
ENT0054,Rohini Patil,Sri Dudh Utpadak,34,ST01,Dairy Producer,DAIRY,4,Kolhapur,Maharashtra,Western Maharashtra Ghat Zone,Kolhapur West,0.28063,0.1876,mr,app,medium,False,FO4,SHG04006,2023-08-08,765.0,robust,0.512,0.1317,,False
ENT0055,Anjali Das,Maa Boutique,54,ST05,Tailoring Unit,HANDICRAFT,5,Nagaon,Assam,Central Brahmaputra Valley,Nagaon Rural,-0.19522,-0.02445,as,app,numerate,False,FO5,SHG05032,2023-08-05,635.0,robust,0.569,0.0888,,False
ENT0056,Dineshbhai Chaudhari,Shree General Stores,30,ST08,Kirana Store,RETAIL,1,Anand,Gujarat,Middle Gujarat Alluvial Plain,Anand South,-0.10775,-0.27194,gu,app,medium,False,FO1,SHG01007,2023-08-13,4774.0,robust,0.349,0.0735,,False
ENT0057,Lakshmi Rao,Nav Swasahayata Foods,47,ST07,SHG Food Processing Unit,FOODPROC,3,Nizamabad,Telangana,Northern Telangana Zone,Nizamabad South,0.29543,0.12158,te,app,medium,False,FO3,SHG03006,2023-08-08,3160.0,robust,0.469,0.0825,,False
ENT0058,Kiritbhai Vaghela,Maa Annapurna Unit,49,ST07,SHG Food Processing Unit,FOODPROC,1,Anand,Gujarat,Middle Gujarat Alluvial Plain,Anand Rural,-0.30182,-0.27284,gu,app,low,False,FO1,SHG01025,2023-08-13,3337.0,robust,0.284,0.111,,False
ENT0059,Suresh Mudiraj,Sri Krishi FPO,46,ST06,FPO / Agri Aggregator,FOODPROC,3,Nizamabad,Telangana,Northern Telangana Zone,Nizamabad South,0.29368,0.28727,te,app,numerate,False,FO3,SHG03016,2023-08-06,4764.0,robust,0.318,0.121,,False
ENT0060,Popat Kulkarni,Nav Vegetable Cart,51,ST09,Vegetable Vendor,RETAIL,4,Kolhapur,Maharashtra,Western Maharashtra Ghat Zone,Kolhapur East,0.0429,0.09574,mr,app,medium,False,FO4,SHG04025,2023-08-11,3189.0,robust,0.294,0.0885,,False
ENT0061,Manisha More,Shree Kirana Store,53,ST08,Kirana Store,RETAIL,4,Kolhapur,Maharashtra,Western Maharashtra Ghat Zone,Kolhapur Rural,0.27498,-0.25472,mr,app,medium,True,FO4,,2023-08-16,5283.0,fragile,0.649,0.1332,,False
ENT0062,Anjali Kalita,Jai Dudh Utpadak,41,ST01,Dairy Producer,DAIRY,5,Nagaon,Assam,Central Brahmaputra Valley,Nagaon North,0.1608,0.34229,as,app,low,True,FO5,SHG05001,2023-08-15,2000.0,robust,0.459,0.1173,,False
ENT0063,Sasmita Behera,Jai Vegetable Cart,60,ST09,Vegetable Vendor,RETAIL,6,Ganjam,Odisha,East Coastal Odisha,Ganjam Rural,0.15114,-0.29404,or,ivr,medium,True,FO6,SHG06035,2023-08-20,1234.0,robust,0.124,0.0081,,False
ENT0064,Anjali Kalita,Jai Murgi Palan,60,ST02,Poultry Unit (broiler),POULTRY,5,Nagaon,Assam,Central Brahmaputra Valley,Nagaon South,0.11393,0.00163,as,app,medium,True,FO5,SHG05037,2023-08-02,4476.0,robust,0.318,0.0729,,False
ENT0065,Popat Patil,Jai Farmer Producer Co,44,ST06,FPO / Agri Aggregator,FOODPROC,4,Kolhapur,Maharashtra,Western Maharashtra Ghat Zone,Kolhapur East,0.20201,-0.01458,mr,app,low,True,FO4,,2023-08-19,4285.0,fragile,0.317,0.1392,,False
ENT0066,Jayantibhai Solanki,Shree Dudh Utpadak,39,ST01,Dairy Producer,DAIRY,1,Anand,Gujarat,Middle Gujarat Alluvial Plain,Anand North,0.16472,-0.06776,gu,app,low,False,FO1,,2023-08-06,881.0,robust,0.633,0.1262,,False
ENT0067,Sunita Devi,Sunita Kumhar Kala,52,ST04,Pottery / Terracotta Unit,HANDICRAFT,2,Bhilwara,Rajasthan,Semi-Arid Eastern Rajasthan,Bhilwara East,-0.23915,0.19035,hi,ivr,low,False,FO2,,2023-08-08,520.0,fragile,0.05,0.01,handicraft_buyer_default,True
ENT0068,Trilochan Pradhan,Nav Kirana Store,31,ST08,Kirana Store,RETAIL,6,Ganjam,Odisha,East Coastal Odisha,Ganjam North,-0.20526,0.34099,or,app,medium,True,FO6,SHG06033,2023-08-21,5058.0,robust,0.67,0.0574,,False
ENT0069,Sarita Kumhar,Jai Taant Ghar,44,ST03,Handloom Weaver,HANDICRAFT,2,Bhilwara,Rajasthan,Semi-Arid Eastern Rajasthan,Bhilwara East,0.16186,-0.0313,hi,app,low,False,FO2,SHG02010,2023-08-19,1059.0,robust,0.455,0.0529,,False
ENT0070,Hemanta Kalita,Nav Agri Producer Co,46,ST06,FPO / Agri Aggregator,FOODPROC,5,Nagaon,Assam,Central Brahmaputra Valley,Nagaon North,0.33054,0.33465,as,app,numerate,False,FO5,SHG05031,2023-08-01,4187.0,robust,0.454,0.0697,,False
ENT0071,Ram Lal Devi,Shree General Stores,49,ST08,Kirana Store,RETAIL,2,Bhilwara,Rajasthan,Semi-Arid Eastern Rajasthan,Bhilwara Rural,-0.00296,0.20309,hi,app,numerate,False,FO2,,2023-08-16,2009.0,robust,0.586,0.0709,,False
ENT0072,Anjali Nayak,Sri Pottery Works,34,ST04,Pottery / Terracotta Unit,HANDICRAFT,6,Ganjam,Odisha,East Coastal Odisha,Ganjam Rural,0.31193,-0.21972,or,app,medium,False,FO6,SHG06002,2023-08-10,550.0,marginal,0.58,0.1177,,False
ENT0073,Jyothi Goud,Jai Mahila SHG Foods,55,ST07,SHG Food Processing Unit,FOODPROC,3,Nizamabad,Telangana,Northern Telangana Zone,Nizamabad North,0.08647,-0.08776,te,app,numerate,True,FO3,SHG03036,2023-08-08,3156.0,robust,0.682,0.1321,,False
ENT0074,Venkatesh Goud,Sri Agri Producer Co,36,ST06,FPO / Agri Aggregator,FOODPROC,3,Nizamabad,Telangana,Northern Telangana Zone,Nizamabad West,0.23392,-0.06377,te,app,medium,False,FO3,SHG03027,2023-08-11,4582.0,marginal,0.599,0.1232,,False
ENT0075,Niranjan Nayak,Shree Murgi Palan,27,ST02,Poultry Unit (broiler),POULTRY,6,Ganjam,Odisha,East Coastal Odisha,Ganjam West,0.00254,-0.24724,or,app,medium,False,FO6,,2023-08-07,7759.0,marginal,0.351,0.0822,,False
ENT0076,Rupali Saikia,Shree Taant Ghar,46,ST03,Handloom Weaver,HANDICRAFT,5,Nagaon,Assam,Central Brahmaputra Valley,Nagaon Rural,0.04761,0.04021,as,app,medium,False,FO5,SHG05027,2023-08-21,908.0,marginal,0.704,0.103,,False
ENT0077,Nilima Saikia,Nav Handloom,31,ST03,Handloom Weaver,HANDICRAFT,5,Nagaon,Assam,Central Brahmaputra Valley,Nagaon North,0.17978,-0.24602,as,app,medium,True,FO5,SHG05020,2023-08-11,1161.0,robust,0.71,0.0573,,False
ENT0078,Pranab Kalita,Sri Vegetable Cart,35,ST09,Vegetable Vendor,RETAIL,5,Nagaon,Assam,Central Brahmaputra Valley,Nagaon East,-0.07579,-0.08142,as,app,numerate,False,FO5,,2023-08-03,1460.0,marginal,0.441,0.108,,False
ENT0079,Meera Devi,Maa Silai Kendra,43,ST05,Tailoring Unit,HANDICRAFT,2,Bhilwara,Rajasthan,Semi-Arid Eastern Rajasthan,Bhilwara North,-0.22315,-0.14661,hi,app,low,True,FO2,SHG02015,2023-08-05,983.0,marginal,0.629,0.0556,,False
ENT0080,Sujatha Yadav,Jai Dairy,25,ST01,Dairy Producer,DAIRY,3,Nizamabad,Telangana,Northern Telangana Zone,Nizamabad South,-0.13771,0.3119,te,app,low,False,FO3,,2023-08-04,1174.0,fragile,0.691,0.0603,,False
ENT0081,Sushma More,Shree Dairy,29,ST01,Dairy Producer,DAIRY,4,Kolhapur,Maharashtra,Western Maharashtra Ghat Zone,Kolhapur North,-0.0344,0.34749,mr,app,medium,True,FO4,SHG04030,2023-08-20,1692.0,robust,0.345,0.0945,,False
ENT0082,Archana Patil,Maa Dairy,28,ST01,Dairy Producer,DAIRY,4,Kolhapur,Maharashtra,Western Maharashtra Ghat Zone,Kolhapur West,-0.20259,-0.14169,mr,app,medium,False,FO4,SHG04022,2023-08-06,695.0,robust,0.585,0.1197,,False
ENT0083,Dineshbhai Solanki,Jai Krishi FPO,35,ST06,FPO / Agri Aggregator,FOODPROC,1,Anand,Gujarat,Middle Gujarat Alluvial Plain,Anand North,0.26838,-0.28067,gu,app,numerate,True,FO1,,2023-08-09,6639.0,fragile,0.472,0.1194,,False
ENT0084,Rohini More,Jai Boutique,28,ST05,Tailoring Unit,HANDICRAFT,4,Kolhapur,Maharashtra,Western Maharashtra Ghat Zone,Kolhapur East,0.06627,0.23499,mr,ivr,low,True,FO4,SHG04015,2023-08-19,1142.0,robust,0.073,0.0116,,False
ENT0085,Prafulla Pradhan,Maa Murgi Palan,38,ST02,Poultry Unit (broiler),POULTRY,6,Ganjam,Odisha,East Coastal Odisha,Ganjam East,0.00257,-0.15571,or,app,numerate,False,FO6,SHG06034,2023-08-14,3405.0,fragile,0.442,0.0454,,False
ENT0086,Jyotiben Rathod,Maa Dairy,41,ST01,Dairy Producer,DAIRY,1,Anand,Gujarat,Middle Gujarat Alluvial Plain,Anand North,0.34322,0.11448,gu,app,medium,False,FO1,SHG01016,2023-08-13,1474.0,robust,0.553,0.1166,,False
ENT0087,Kokilaben Rathod,Nav Dairy,32,ST01,Dairy Producer,DAIRY,1,Anand,Gujarat,Middle Gujarat Alluvial Plain,Anand North,-0.34554,0.09272,gu,ivr,medium,False,FO1,SHG01016,2023-08-21,1381.0,robust,0.097,0.0075,,False
ENT0088,Narayana Rao,Jai Provision Store,42,ST08,Kirana Store,RETAIL,3,Nizamabad,Telangana,Northern Telangana Zone,Nizamabad Rural,-0.26921,0.04288,te,app,medium,True,FO3,SHG03034,2023-08-14,3663.0,marginal,0.611,0.0629,,False
ENT0089,Savitri Sharma,Jai Dairy,58,ST01,Dairy Producer,DAIRY,2,Bhilwara,Rajasthan,Semi-Arid Eastern Rajasthan,Bhilwara North,-0.32872,0.16225,hi,app,low,False,FO2,SHG02030,2023-08-21,948.0,marginal,0.718,0.0481,,False
ENT0090,Popat Kadam,Shree Annapurna Unit,44,ST07,SHG Food Processing Unit,FOODPROC,4,Kolhapur,Maharashtra,Western Maharashtra Ghat Zone,Kolhapur East,-0.1227,0.05838,mr,app,medium,False,FO4,,2023-08-10,2310.0,robust,0.425,0.0791,,False
ENT0091,Rohini Kadam,Nav Dudh Utpadak,46,ST01,Dairy Producer,DAIRY,4,Kolhapur,Maharashtra,Western Maharashtra Ghat Zone,Kolhapur West,-0.30009,0.15312,mr,app,numerate,True,FO4,SHG04034,2023-08-02,1137.0,fragile,0.42,0.0785,,False
ENT0092,Mahendrabhai Desai,Maa General Stores,31,ST08,Kirana Store,RETAIL,1,Anand,Gujarat,Middle Gujarat Alluvial Plain,Anand West,-0.271,0.12862,gu,app,medium,False,FO1,SHG01033,2023-08-07,4385.0,robust,0.57,0.1192,,False
ENT0093,Nabin Hazarika,Shree Vegetable Cart,58,ST09,Vegetable Vendor,RETAIL,5,Nagaon,Assam,Central Brahmaputra Valley,Nagaon South,0.30649,-0.1944,as,app,numerate,False,FO5,SHG05014,2023-08-19,2304.0,marginal,0.432,0.1336,,False
ENT0094,Bornali Nath,Sri Swasahayata Foods,44,ST07,SHG Food Processing Unit,FOODPROC,5,Nagaon,Assam,Central Brahmaputra Valley,Nagaon East,0.08307,-0.03448,as,app,medium,False,FO5,SHG05036,2023-08-12,1637.0,fragile,0.683,0.0909,,False
ENT0095,Sandeep Jadhav,Maa Gopal Dairy,50,ST01,Dairy Producer,DAIRY,4,Kolhapur,Maharashtra,Western Maharashtra Ghat Zone,Kolhapur North,0.17072,0.3109,mr,app,numerate,False,FO4,,2023-08-15,2212.0,marginal,0.46,0.044,,False
ENT0096,Kiritbhai Solanki,Jai Kirana Store,58,ST08,Kirana Store,RETAIL,1,Anand,Gujarat,Middle Gujarat Alluvial Plain,Anand East,0.26844,-0.12846,gu,app,low,False,FO1,SHG01023,2023-08-17,1971.0,robust,0.671,0.0803,,False
ENT0097,Popat Jadhav,Jai Agri Producer Co,42,ST06,FPO / Agri Aggregator,FOODPROC,4,Kolhapur,Maharashtra,Western Maharashtra Ghat Zone,Kolhapur North,-0.33428,0.09351,mr,app,low,False,FO4,SHG04003,2023-08-04,10575.0,robust,0.556,0.0401,,False
